,Name,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Average_Flux_of_Entire_Source_(0.2-5_MeV),Start_Time_(MJD)
147,4FGL J1229.0+0202,0.0017108357597259074,0.000857323738684921,60531.50001157408
148,4FGL J1229.0+0202,0.00221616115316752,0.000857323738684921,60734.50001157408
149,4FGL J1224.9+2122,0.00024337618975169386,8.601035164657367e-05,55078.50001157408
150,4FGL J1224.9+2122,0.0001989890950102689,8.601035164657367e-05,56436.50001157408
151,4FGL J1224.9+2122,0.00017015665366900835,8.601035164657367e-05,56814.50001157408
152,4FGL J1153.4+4931,0.0001578016820934614,6.670481920808965e-05,55610.50001157408
153,4FGL J0841.3+7053,0.000360329799668832,0.00016743688757689398,55617.50001157408
154,4FGL J0841.3+7053,0.0004715427008011876,0.00016743688757689398,55852.00001157408
155,4FGL J0841.3+7053,0.0003026264106771655,0.00016743688757689398,56758.50001157408
156,4FGL J0841.3+7053,0.00036555625817524915,0.00016743688757689398,57178.50001157408
157,4FGL J0841.3+7053,0.0004108453370450755,0.00016743688757689398,57290.50001157408
158,4FGL J0841.3+7053,0.0004091100790620584,0.00016743688757689398,59978.50001157408
159,4FGL J0530.9+1332,0.00019633380684795277,0.00014373510202995694,54683.00001157408
160,4FGL J0530.9+1332,0.00015665730093364092,0.00014373510202995694,56016.50001157408
161,4FGL J0530.9+1332,0.00016145102441154704,0.00014373510202995694,58771.00001157408
162,4FGL J0403.9-3605,0.0001533198139857365,6.273079114063615e-05,56961.50001157408
163,4FGL J0403.9-3605,0.0001511533081235774,6.273079114063615e-05,59908.50001157408
164,4FGL J2327.5+0939,0.0002072910718199526,0.0002060994474322434,54742.50001157408
165,4FGL J2327.5+0939,0.00034554113350045135,0.0002060994474322434,54847.50001157408
166,4FGL J2327.5+0939,0.0002156240339637913,0.0002060994474322434,55012.00001157408
167,4FGL J2327.5+0939,0.00022345141699894658,0.0002060994474322434,56391.00001157408
168,4FGL J2327.5+0939,0.00023569006868885863,0.0002060994474322434,56793.50001157408
169,4FGL J2327.5+0939,0.00038999322834585166,0.0002060994474322434,57245.00001157408
170,4FGL J2327.5+0939,0.00024166954189547743,0.0002060994474322434,60293.50001157408
171,4FGL J2151.8-3027,0.0008650302130120312,0.00039761107540419143,55047.00001157408
172,4FGL J2151.8-3027,0.0006955458555349755,0.00039761107540419143,55537.00001157408
173,4FGL J2151.8-3027,0.0005994690680041156,0.00039761107540419143,55960.50001157408
174,4FGL J2151.8-3027,0.0010205060896571368,0.00039761107540419143,56097.00001157408
175,4FGL J2151.8-3027,0.0010267668632133156,0.00039761107540419143,56121.50001157408
176,4FGL J2151.8-3027,0.0005841536506923134,0.00039761107540419143,56265.00001157408
177,4FGL J2151.8-3027,0.000554815404942495,0.00039761107540419143,56653.50001157408
178,4FGL J2151.8-3027,0.0010392884103256732,0.00039761107540419143,60262.00001157408
179,4FGL J2151.8-3027,0.0010079845425447795,0.00039761107540419143,60279.50001157408
180,4FGL J1332.0-0509,0.00019343062020361307,0.0001118682621209058,55085.50001157408
181,4FGL J1332.0-0509,0.00021102956803405328,0.0001118682621209058,55309.50001157408
182,4FGL J1332.0-0509,0.0003626154862591552,0.0001118682621209058,55435.50001157408
183,4FGL J1159.5+2914,0.00010821122107483757,5.1566749038972395e-05,59292.50001157408
184,4FGL J1129.8-1447,0.0004217546455652114,0.00032881386438094726,58372.00001157408
