Name,Duration_(s),Source_Counts(ph)_(0.2-5_MeV),Asymmetry,Coverage,Background_Counts,MDP99_(%),Class,Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Start_Time_(MJD),Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV),StarttimeMJD,EndtimeMJD,Threshold,QuiescentBkg,QuiescentBkgErr
4FGL J1256.1-0547,604800.0,17558.849688052524,0.0,0.011764705882352941,3024000.0,142.03261672245898,FSRQ,1305.1399002615028,0.0021579694118080404,57934.50001157408,0.001253290356534895,0.0021579694118080404,57700.0,58300.0,2e-06,1.3513999999999999e-06,1.0321513513687306e-08
4FGL J1256.1-0547,604800.0,12808.33898477804,0.0,0.011764705882352941,3024000.0,194.55926460184656,FSRQ,952.0369820400687,0.0015741352216270977,58109.50001157408,0.001253290356534895,0.0015741352216270977,57700.0,58300.0,2e-06,1.3513999999999999e-06,1.0321513513687306e-08
4FGL J1256.1-0547,4838400.0,207519.14477215498,-0.625,0.09411764705882353,24192000.0,34.03835021082992,FSRQ,15424.786971926182,0.0031879933391051134,58123.50001157408,0.001253290356534895,0.009829107252413333,57700.0,58300.0,2e-06,1.3513999999999999e-06,1.0321513513687306e-08
4FGL J1256.1-0547,2419200.0,129646.84906657961,-0.25,0.047058823529411764,12096000.0,38.56647932528735,FSRQ,9636.580907410274,0.0039833750443990885,58214.50001157408,0.001253290356534895,0.008203239887352482,57700.0,58300.0,2e-06,1.3513999999999999e-06,1.0321513513687306e-08
4FGL J1256.1-0547,604800.0,14311.665156700345,0.0,0.011764705882352941,3024000.0,174.16546005315027,FSRQ,1063.7784118569782,0.0017588928767476493,58249.50001157408,0.001253290356534895,0.0017588928767476493,57700.0,58300.0,2e-06,1.3513999999999999e-06,1.0321513513687306e-08
4FGL J1256.1-0547,604800.0,51714.4203141273,0.0,0.011764705882352941,3024000.0,48.495046600010326,FSRQ,3843.905185701686,0.006355663336146968,58263.50001157408,0.001253290356534895,0.006355663336146968,57700.0,58300.0,2e-06,1.3513999999999999e-06,1.0321513513687306e-08
4FGL J1256.1-0547,604800.0,15694.725234868865,0.0,0.011764705882352941,3024000.0,158.85368924821876,FSRQ,1166.580527288535,0.0019288699194585565,58284.50001157408,0.001253290356534895,0.0019288699194585565,57700.0,58300.0,2e-06,1.3513999999999999e-06,1.0321513513687306e-08
4FGL J1332.0-0509,2419200.0,97411.1784988009,0.75,0.047619047619047616,12096000.0,51.261327575866666,FSRQ,7188.391429816576,0.0029713919600762966,55435.50001157408,0.0005921646617460246,0.006220370485805818,55000.0,55600.0,7e-07,2.473371794871795e-07,5.900333759322333e-09
4FGL J1332.0-0509,604800.0,15028.48901149247,0.0,0.011904761904761904,3024000.0,165.8777382165009,FSRQ,1109.017088984658,0.001833692276760347,55498.50001157408,0.0005921646617460246,0.001833692276760347,55000.0,55600.0,7e-07,2.473371794871795e-07,5.900333759322333e-09
4FGL J1512.8-0906,3628800.0,96990.87849049809,0.8333333333333334,0.010526315789473684,18144000.0,62.96937135326882,FSRQ,7189.487264668471,0.0019812299560925018,55169.50001157408,0.0008287509046693094,0.0024422951552221105,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1512.8-0906,604800.0,30787.756950245745,0.0,0.0017543859649122807,3024000.0,81.17989938655732,FSRQ,2282.154672134295,0.003773403889110938,55736.50001157408,0.0008287509046693094,0.003773403889110938,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1512.8-0906,604800.0,18227.1076423234,0.0,0.0017543859649122807,3024000.0,136.84032437473954,FSRQ,1351.091569699138,0.00223394770122212,55757.50001157408,0.0008287509046693094,0.00223394770122212,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
4FGL J1512.8-0906,1209600.0,79424.85765385484,0.5,0.0035087719298245615,6048000.0,44.56753244829326,FSRQ,5887.399016150131,0.004867228022610888,55841.50001157408,0.0008287509046693094,0.0065050705082219246,55000.0,59000.0,1.5e-06,5.70787213740458e-07,3.376956968536457e-09
