,Name,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Average_Flux_of_Entire_Source_(0.2-5_MeV),Start_Time_(MJD)
370,4FGL J1256.1-0547,0.0005458972849961,0.0004308858305217,58662.50001157408
371,4FGL J1256.1-0547,0.0005302544701959,0.0004308858305217,58690.50001157408
372,4FGL J1256.1-0547,0.0004862082452152,0.0004308858305217,58746.50001157408
373,4FGL J1256.1-0547,0.0005315477737818,0.0004308858305217,58830.50001157408
374,4FGL J1256.1-0547,0.0004703006111093,0.0004308858305217,58914.50001157408
375,4FGL J1256.1-0547,0.0005841790711371,0.0004308858305217,58991.50001157408
376,4FGL J1256.1-0547,0.0005511056912738,0.0004308858305217,59187.50001157408
377,4FGL J1256.1-0547,0.0006178624445284,0.0004308858305217,59264.50001157408
378,4FGL J1256.1-0547,0.0005488885994124,0.0004308858305217,59600.50001157408
379,4FGL J1256.1-0547,0.0006784301096026,0.0004308858305217,60587.50001157408
380,4FGL J1229.0+0202,0.0063755080887305,0.0026298122960605,54707.50001157408
381,4FGL J1229.0+0202,0.0035605801491116,0.0026298122960605,54889.50001157408
382,4FGL J1229.0+0202,0.0056118591677532,0.0026298122960605,54931.50001157408
383,4FGL J1229.0+0202,0.0034429093432506,0.0026298122960605,55008.50001157408
384,4FGL J1229.0+0202,0.0104035958461359,0.0026298122960605,55029.50001157408
385,4FGL J1229.0+0202,0.0037599283378643,0.0026298122960605,55316.50001157408
386,4FGL J1229.0+0202,0.0039304817882417,0.0026298122960605,55414.50001157408
387,4FGL J1229.0+0202,0.0032793568114068,0.0026298122960605,55463.50001157408
388,4FGL J1229.0+0202,0.0040229571980242,0.0026298122960605,55645.50001157408
389,4FGL J1229.0+0202,0.0025209239702691,0.0026298122960605,55694.50001157408
390,4FGL J1229.0+0202,0.002927926522306,0.0026298122960605,56023.50001157408
391,4FGL J1229.0+0202,0.0072928212385381,0.0026298122960605,56160.00001157408
392,4FGL J1229.0+0202,0.0031812648455126,0.0026298122960605,56268.50001157408
393,4FGL J1229.0+0202,0.0041115563930254,0.0026298122960605,56709.50001157408
394,4FGL J1229.0+0202,0.0040783316949,0.0026298122960605,56884.50001157408
395,4FGL J1229.0+0202,0.003189571020044,0.0026298122960605,57248.50001157408
396,4FGL J1229.0+0202,0.0038144885039037,0.0026298122960605,57290.50001157408
397,4FGL J1229.0+0202,0.0038789835061472,0.0026298122960605,57451.50001157408
398,4FGL J1229.0+0202,0.0029154672605089,0.0026298122960605,57654.50001157408
399,4FGL J1229.0+0202,0.0029165055323254,0.0026298122960605,57724.50001157408
400,4FGL J1229.0+0202,0.0026413635009739,0.0026298122960605,57843.50001157408
401,4FGL J1229.0+0202,0.0075004756018222,0.0026298122960605,57875.00001157408
402,4FGL J1229.0+0202,0.0037460847136454,0.0026298122960605,57906.50001157408
403,4FGL J1229.0+0202,0.002574914104723,0.0026298122960605,58011.50001157408
404,4FGL J1229.0+0202,0.0027327314208189,0.0026298122960605,58172.50001157408
405,4FGL J1229.0+0202,0.0027493437698816,0.0026298122960605,58445.50001157408
406,4FGL J1229.0+0202,0.0026607445748804,0.0026298122960605,58750.00001157408
407,4FGL J1229.0+0202,0.006470509959933,0.0026298122960605,58872.50001157408
408,4FGL J1229.0+0202,0.0054073196199183,0.0026298122960605,59152.50001157408
409,4FGL J1229.0+0202,0.0032622500471934,0.0026298122960605,59187.50001157408
410,4FGL J1229.0+0202,0.0034221439069222,0.0026298122960605,59348.50001157408
411,4FGL J1229.0+0202,0.004784356530066,0.0026298122960605,59464.00001157408
412,4FGL J1229.0+0202,0.0042195366619332,0.0026298122960605,60125.50001157408
413,4FGL J1229.0+0202,0.0045019465959996,0.0026298122960605,60139.50001157408
414,4FGL J1229.0+0202,0.0038634094289009,0.0026298122960605,60335.50001157408
415,4FGL J1229.0+0202,0.0042735267963871,0.0026298122960605,60433.50001157408
416,4FGL J1229.0+0202,0.0040575662585716,0.0026298122960605,60454.50001157408
417,4FGL J1229.0+0202,0.0034138377323908,0.0026298122960605,60489.50001157408
418,4FGL J1229.0+0202,0.0051548119141648,0.0026298122960605,60531.50001157408
419,4FGL J1229.0+0202,0.0065971791215363,0.0026298122960605,60734.50001157408
420,4FGL J1224.9+2122,0.0003024933964577,0.0003418551174792,55029.50001157408
421,4FGL J1224.9+2122,0.001352180251522,0.0003418551174792,55092.50001157408
422,4FGL J1224.9+2122,0.0011919224952186,0.0003418551174792,55141.50001157408
423,4FGL J1224.9+2122,0.0004008037503065,0.0003418551174792,55694.50001157408
424,4FGL J1224.9+2122,0.0004714724662031,0.0003418551174792,55771.50001157408
425,4FGL J1224.9+2122,0.0004201876662289,0.0003418551174792,56226.50001157408
426,4FGL J1224.9+2122,0.0004349646424927,0.0003418551174792,56289.50001157408
427,4FGL J1224.9+2122,0.0006397635465655,0.0003418551174792,56436.50001157408
428,4FGL J1224.9+2122,0.000385939850653,0.0003418551174792,56772.50001157408
429,4FGL J1224.9+2122,0.0005015131897134,0.0003418551174792,56814.50001157408
430,4FGL J1224.9+2122,0.0008258301519002,0.0003418551174792,56877.50001157408
431,4FGL J1224.9+2122,0.0004130599482664,0.0003418551174792,57115.50001157408
432,4FGL J1224.9+2122,0.0005616989448017,0.0003418551174792,58235.50001157408
433,4FGL J1224.9+2122,0.0004714724662031,0.0003418551174792,58319.50001157408
434,4FGL J1153.4+4931,0.0002485305603471,0.0002611161304602,55236.00001157408
435,4FGL J1153.4+4931,0.0006942881559887,0.0002611161304602,55610.50001157408
436,4FGL J0841.3+7053,0.0020322586227814,0.001074844492518,55617.50001157408
437,4FGL J0841.3+7053,0.0018959960714455,0.001074844492518,55687.50001157408
438,4FGL J0841.3+7053,0.001352892473978,0.001074844492518,55806.50001157408
439,4FGL J0841.3+7053,0.0039853551919296,0.001074844492518,55852.00001157408
440,4FGL J0841.3+7053,0.0013730074220324,0.001074844492518,55953.50001157408
441,4FGL J0841.3+7053,0.0019751581250787,0.001074844492518,56758.50001157408
442,4FGL J0841.3+7053,0.0017339137132393,0.001074844492518,56793.50001157408
443,4FGL J0841.3+7053,0.0015806455954966,0.001074844492518,57031.50001157408
444,4FGL J0841.3+7053,0.0014716355544279,0.001074844492518,57143.50001157408
445,4FGL J0841.3+7053,0.0027859851924567,0.001074844492518,57178.50001157408
446,4FGL J0841.3+7053,0.0030298420700423,0.001074844492518,57290.50001157408
