Source_Name,Flux1000,Energy_Flux100,PL_Index,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,ASSOC1
4FGL J0043.5-0442,1.8101e-10,2.07643e-12,1.9197,8.99851,0.0,10.0,bll,1RXS J004333.7-044257
4FGL J0043.6+2223,1.57334e-10,1.76821e-12,2.1473,13.9299,0.457918,0.418895,bcu,TXS 0040+221
4FGL J0043.7-1116,2.02664e-10,2.33365e-12,1.91151,16.6323,0.530384,0.260814,bll,1RXS J004349.3-111612
4FGL J0043.8+3425,2.64629e-09,2.57384e-11,1.95261,190.193,0.445096,0.110161,fsrq,GB6 J0043+3426
4FGL J0044.2-8424,2.03979e-10,3.73036e-12,2.66227,43.0684,0.754336,0.225589,fsrq,PKS 0044-84
4FGL J0044.8+6802,4.63975e-10,6.33908e-12,2.43307,17.5327,0.407676,0.200112,bcu,LQAC 011+068
4FGL J0045.1-3706,4.11616e-10,6.84153e-12,2.59465,102.667,0.558178,0.144857,fsrq,PKS 0042-373
4FGL J0045.3+2128,1.51233e-09,1.58969e-11,1.8091,222.415,0.844189,0.205133,bll,GB6 J0045+2127
4FGL J0045.7+1217,8.9922e-10,1.00897e-11,1.98243,37.5152,0.353931,0.109144,bll,GB6 J0045+1217
4FGL J0045.8-1324,8.6606e-11,9.78197e-13,1.95967,9.9043,0.0,10.0,,
4FGL J0045.9-2021,1.37355e-10,1.54493e-12,1.9734,10.1344,0.192062,0.775576,,
4FGL J0046.7-7048,9.04928e-11,1.02144e-12,2.16199,8.00029,0.0,10.0,,
4FGL J0047.0+5657,9.64113e-10,7.87236e-12,2.1599,89.8093,0.668268,0.173356,bll,GB6 J0047+5657
4FGL J0047.1-6203,4.9425e-11,1.53913e-12,2.98489,7.78592,0.0,10.0,bcu,PKS 0045-623
4FGL J0047.3+6943,1.84632e-10,2.06688e-12,1.9921,6.09456,0.0,10.0,unk,1RXS J004724.5+694222
4FGL J0047.5-2517,7.91295e-10,6.74618e-12,2.13765,12.6854,0.126526,0.107576,sbg,NGC 253
4FGL J0047.9+3947,7.80844e-10,8.7649e-12,1.98089,52.7946,0.418532,0.120815,bll,B3 0045+395
4FGL J0047.9+5448,8.89001e-11,1.38976e-12,1.5752,10.841,0.0,10.0,bcu,1RXS J004754.5+544758
4FGL J0047.9+2233,3.88481e-10,5.78302e-12,2.50894,125.62,1.24879,0.312948,fsrq,GB6 J0048+2234
4FGL J0048.6-6347,4.2914e-10,2.34557e-12,2.17292,7.56035,0.0,10.0,,
4FGL J0048.6-2427,1.98136e-10,2.20184e-12,2.04498,12.2741,0.300341,0.325155,bcu,1RXS J004836.9-242631
4FGL J0049.0+2252,1.8549e-10,2.15154e-12,2.22722,7.09824,0.0,10.0,bll,CRATES J004901.37+225315.4
4FGL J0049.1+4223,1.39198e-10,1.59211e-12,1.92639,14.6669,0.394514,0.447329,bll,GALEXASC J004859.14+422351.4
4FGL J0049.4-5402,2.82941e-10,3.22184e-12,2.18663,11.3456,0.205828,0.183426,bcu,PMN J0049-5402
4FGL J0049.5-4150,1.08368e-10,1.21305e-12,1.99239,4.20986,0.0,10.0,bcu,SUMSS J004938-415140
4FGL J0049.6-4500,1.25027e-10,2.19084e-12,2.63264,9.28371,0.0800872,0.776973,fsrq,PMN J0049-4457
4FGL J0049.7+0237,1.29806e-09,1.49347e-11,2.21067,115.452,0.415865,0.107601,bll,PKS 0047+023
4FGL J0050.0-5736,3.84895e-10,6.59411e-12,2.61663,65.8571,0.507079,0.137495,fsrq,PKS 0047-579
4FGL J0050.4-0452,9.43887e-10,1.22149e-11,2.37811,206.62,0.779649,0.191115,fsrq,PKS 0047-051
4FGL J0050.7-0929,3.92685e-09,3.65444e-11,2.01638,157.93,0.307749,0.0769384,BLL,PKS 0048-09
4FGL J0051.1-0648,9.08823e-10,8.87999e-12,2.35057,152.874,0.765456,0.191193,fsrq,PKS 0048-071
4FGL J0051.2-6242,1.8132e-09,1.95145e-11,1.76226,164.29,0.532574,0.131917,bll,1RXS J005117.7-624154
4FGL J0051.5-4220,1.54471e-10,3.81968e-12,2.79624,24.0781,0.377349,0.144907,fsrq,PKS 0048-427
4FGL J0052.1+6444,5.56669e-10,8.64475e-12,2.54306,4.1699,0.0,10.0,,
4FGL J0052.9-6644,1.29322e-10,1.43664e-12,2.05343,7.75909,0.0,10.0,bcu,PMN J0052-6641
4FGL J0054.4+8627,2.26418e-10,4.77061e-12,2.75506,18.0747,0.424661,0.174767,bcu,WN B0046.2+8611
4FGL J0054.4-1503,6.20863e-11,7.43823e-13,1.63088,6.11614,0.0,10.0,,
4FGL J0054.7-2455,7.29883e-10,9.21454e-12,1.77453,16.9721,0.183973,0.0991651,bll,FRBA J0054-2455
4FGL J0054.8-1954,1.0361e-10,1.33991e-12,2.37737,21.2316,0.753497,0.332643,bcu,TXS 0052-201
4FGL J0055.1-1219,4.16629e-10,5.15198e-12,2.325,94.5751,0.89227,0.229748,bcu,TXS 0052-125
4FGL J0055.7+4507,5.36297e-11,7.08297e-13,1.72531,8.52315,0.0,10.0,,
4FGL J0056.3-0935,7.22475e-10,8.49173e-12,1.87295,22.671,0.278173,0.112627,bll,TXS 0053-098
4FGL J0056.4-2118,9.4887e-10,8.03371e-12,1.9121,25.1196,0.262547,0.0963487,bll,PMN J0056-2117
4FGL J0056.5-3936,1.34187e-10,5.58725e-13,2.19294,10.3404,0.0,10.0,bcu,NVSS J005620-394144
4FGL J0056.6-4452,1.19597e-10,1.56014e-12,2.38668,8.51542,0.0,10.0,bcu,PKS 0054-451
4FGL J0056.6-5317,1.76961e-10,2.00801e-12,2.17743,30.8474,0.8572,0.281392,bcu,CRATES J005630.93-531931.5
4FGL J0056.8+1626,1.67874e-10,1.91847e-12,2.19546,10.7911,0.302906,0.418719,bll,TXS 0054+161
4FGL J0057.0+4101,1.22434e-10,1.36007e-12,2.05494,11.7324,0.242451,0.580407,bcu,87GB 005415.3+404404
4FGL J0057.3+2216,1.49539e-10,1.73365e-12,2.22622,13.0388,0.39926,0.319072,bcu,87GB 005452.5+220227
4FGL J0057.5+6814,2.17002e-10,3.49392e-12,2.57093,10.3353,0.226087,0.666498,,
4FGL J0057.7+3023,2.74572e-10,3.54061e-12,2.37422,8.8113,0.0,10.0,rdg,NGC 315
4FGL J0057.9+6326,2.35679e-10,3.15245e-12,1.71246,14.5829,0.274371,0.302885,,
4FGL J0058.0-7245e,2.81543e-09,2.52622e-11,2.20009,11.184,0.0580576,0.0679741,GAL,SMC
4FGL J0058.0-0539,4.12366e-10,5.78263e-12,2.45726,55.397,0.53595,0.155788,fsrq,PKS 0055-059
4FGL J0058.0-3233,1.39537e-09,1.08248e-11,2.10807,66.1132,0.34064,0.0927306,bll,PKS 0055-328
4FGL J0058.1+6915,2.54848e-10,3.95823e-12,2.54317,9.07901,0.170127,0.593618,,
4FGL J0058.3+1723,5.50005e-11,8.09337e-13,1.62505,7.50246,0.0,10.0,bll,RX J00582+1723
4FGL J0058.3-4603,8.31851e-11,9.2409e-13,2.05397,16.3435,0.781929,0.410559,,
4FGL J0058.4+3315,2.18452e-10,2.7416e-12,2.34322,79.3858,1.3434,0.353691,fsrq,MG3 J005830+3311
4FGL J0058.6-1140,1.21007e-10,1.34857e-12,2.10709,6.83662,0.0,10.0,bcu,NVSS J005832-114050
4FGL J0059.2+0006,1.72477e-10,2.22851e-12,2.37639,11.8658,0.30583,0.335888,fsrq,PKS 0056-00
4FGL J0059.3-0152,2.22073e-10,2.73365e-12,1.80544,8.8766,0.0,10.0,bll,RX J0059.3-0150
4FGL J0059.4-5654,5.58979e-10,6.72209e-12,2.51661,46.1522,0.392798,0.114079,,
4FGL J0059.5-3512,1.38267e-10,1.57329e-12,1.93903,14.8259,0.478037,0.289621,bll,1RXS J005932.3-351049
4FGL J0059.5-3338,8.75187e-11,2.00958e-12,2.80832,14.1911,0.506293,0.307932,fsrq,PKS B0057-338
4FGL J0059.7-7210,2.11056e-10,1.63295e-12,2.55657,11.785,0.169392,0.457167,sfr,NGC 346
4FGL J0100.3+0745,1.64534e-09,1.32648e-11,1.9098,42.3132,0.280663,0.085438,bll,GB6 J0100+0745
4FGL J0101.0-0059,1.57208e-10,2.03459e-12,2.37819,13.5924,0.324955,0.394369,bll,NVSS J010058-005547
