,Unnamed: 0.1,Unnamed: 0,Name,Class,Average_Photon_Flux_(ph/cm2/s)_(0.2-5_MeV),Photon_Fluence_(ph/cm2)_(0.2-5_MeV),Source_Counts(ph)_(0.2-5_MeV),Background_Counts,Duration_(s),Start_Time_(MJD),Coverage,MDP99_(%),Asymmetry,Average_Flux_of_Entire_Source_(0.2-5_MeV),Peak_Flare_Flux_(0.2-5_MeV)
48,48,48,4FGL J0017.5-0514,FSRQ,5.086441292052603e-06,84.59769156941888,1019.320469235652,83160000.0,16632000.0,56660.50001157408,0.0312855517633674,12793.376879840953,0.0,2.901948033164564e-06,8.480409390793626e-06
49,49,49,4FGL J0017.5-0514,FSRQ,3.187488565747788e-06,308.4468935302819,3716.487133571152,483840000.0,96768000.0,58550.50001157408,0.1820250284414107,8463.616109850873,0.95,2.901948033164564e-06,8.336061996907777e-06
50,50,50,4FGL J0017.5-0514,FSRQ,3.872118840987898e-06,11.709287375147404,141.08560269468273,15120000.0,3024000.0,59747.50001157408,0.005688282138794,39412.25295516164,0.0,2.901948033164564e-06,5.3047667253049496e-06
51,51,51,4FGL J0017.5-0514,FSRQ,4.731386799591716e-06,30.04619873212724,362.0276726492946,31752000.0,6350400.0,59908.50001157408,0.0119453924914675,22257.80267453457,-0.6190476190476191,2.901948033164564e-06,7.0008486034636745e-06
52,52,52,4FGL J0019.2-5640,BCU,1.911877831980396e-05,2925.448393337811,39091.61387556863,765072000.0,153014400.0,55120.50001157408,0.292824074074074,1011.8466216148018,0.0,1.7164013800877664e-05,3.322657773807214e-05
53,53,53,4FGL J0019.2-5640,BCU,1.8694303564895413e-05,1136.284637002899,15183.723761326575,303912000.0,60782400.0,57448.00001157408,0.1163194444444444,1641.8841725319262,0.0,1.7164013800877664e-05,3.587355877380955e-05
54,54,54,4FGL J0019.2-5640,BCU,2.126775734964012e-05,3035.606556234713,40563.61398981244,713664000.0,142732800.0,58662.50001157408,0.2731481481481481,941.7998850512096,0.9915254237288136,1.7164013800877664e-05,4.388415927669906e-05
55,55,55,4FGL J0019.6+7327,FSRQ,8.252113231366947e-06,833.4766397492318,10229.059114086172,505008000.0,101001600.0,56275.50001157408,0.1928406466512702,3141.62161537984,0.994011976047904,6.41278403324364e-06,2.7911061375045584e-05
57,57,57,4FGL J0021.9-5140,BLL,8.48936452724575e-07,91.90518122280032,1149.0649714590818,541296000.0,108259200.0,58386.00001157408,0.2041049030786773,28954.05010957701,0.0,6.460845464137347e-07,3.335776789955283e-06
58,58,58,4FGL J0021.9-5140,BLL,6.392791334120763e-07,5.026268258539109,62.84203693633663,39312000.0,7862400.0,60241.00001157408,0.0148232611174458,142675.26915451838,0.0,6.460845464137347e-07,1.0063551326999926e-06
59,59,59,4FGL J0021.9-5140,BLL,6.992414613840054e-07,23.893919825245124,298.7390475351082,170856000.0,34171200.0,60395.00001157408,0.0644241733181299,62569.04732372876,0.8849557522123894,6.460845464137347e-07,1.607919374034625e-06
60,60,60,4FGL J0022.5+0608,BLL,1.826965767926428e-06,40.88310916835043,515.5859548827996,111888000.0,22377600.0,54812.50001157408,0.0421412300683371,29337.811601732057,0.0,1.83681424278626e-06,3.413685376347636e-06
61,61,61,4FGL J0022.5+0608,BLL,2.412726804615513e-06,33.56199494292364,423.2577600486144,69552000.0,13910400.0,55330.50001157408,0.0261958997722095,28176.51269740121,0.0,1.83681424278626e-06,3.8001403246134056e-06
62,62,62,4FGL J0022.5+0608,BLL,3.2047581699414542e-06,28.10444724711858,354.4314159348844,43848000.0,8769600.0,55782.00001157408,0.0165148063781321,26716.556276220912,0.0,1.83681424278626e-06,4.701868537233536e-06
63,63,63,4FGL J0022.5+0608,BLL,3.920907495946459e-06,21.342283681935765,269.1522718152023,27216000.0,5443200.0,55978.00001157408,0.010250569476082,27717.386842455217,0.0,1.83681424278626e-06,5.056118906477158e-06
64,64,64,4FGL J0022.5+0608,BLL,2.0136484405161027e-06,66.98200172532763,844.7248759213635,166320000.0,33264000.0,56135.50001157408,0.0626423690205011,21832.02876057029,-0.6909090909090909,1.83681424278626e-06,4.701868537233536e-06
65,65,65,4FGL J0022.5+0608,BLL,2.275897599495164e-06,87.40539212909188,1102.2887808559906,192024000.0,38404800.0,56531.00001157408,0.0723234624145785,17977.10077031159,0.0,1.83681424278626e-06,4.798482274299978e-06
66,66,66,4FGL J0022.5+0608,BLL,1.894717851990345e-06,174.75361692477352,2203.856611794424,461160000.0,92232000.0,57385.00001157408,0.1736902050113895,13934.120297011446,0.0,1.83681424278626e-06,5.700210486920109e-06
67,67,67,4FGL J0022.5+0608,BLL,2.579379008196453e-06,109.98059390308364,1386.989656109531,213192000.0,42638400.0,58491.00001157408,0.0802961275626423,15053.92263870882,0.0,1.83681424278626e-06,1.1336011815795922e-05
68,68,68,4FGL J0022.5+0608,BLL,3.326733012987837e-06,26.156105641315573,329.86044793122073,39312000.0,7862400.0,59019.50001157408,0.0148063781321184,27181.297545924484,0.0,1.83681424278626e-06,6.086665435185879e-06
70,70,70,4FGL J0023.7+4457,FSRQ,6.263226184485661e-07,24.81139473626888,284.5650792980124,198072000.0,39614400.0,57276.50001157408,0.0755478662053056,70723.9142201687,0.0,6.406499239257363e-07,1.2276763620265423e-06
71,71,71,4FGL J0023.7+4457,FSRQ,9.05316783393803e-07,5.201588110667434,59.65768345235183,28728000.0,5745600.0,57756.00001157408,0.010957324106113,128476.23439149244,0.0,6.406499239257363e-07,1.3108659307059593e-06
72,72,72,4FGL J0023.7+4457,FSRQ,7.400630460441611e-07,25.73643248923175,295.1744563331834,173880000.0,34776000.0,57829.50001157408,0.0663206459054209,63882.58034474024,0.0,6.406499239257363e-07,1.2730524903971337e-06
75,75,75,4FGL J0030.3-4224,FSRQ,1.5513195578506497e-05,65.6766648011651,845.7624057176567,21168000.0,4233600.0,55257.00001157408,0.0079545454545454,7779.223515980567,0.0,8.2870733167807e-06,2.1812185421348964e-05
76,76,76,4FGL J0030.3-4224,FSRQ,8.462079650621437e-06,547.6116376784554,7051.961872365054,323568000.0,64713600.0,56849.50001157408,0.1215909090909091,3647.653666703573,0.0,8.2870733167807e-06,2.054269314814876e-05
77,77,77,4FGL J0030.3-4224,FSRQ,1.5580132443820688e-05,37.69145640809101,485.3781315360539,12096000.0,2419200.0,57619.50001157408,0.0045454545454545,10246.733340815892,0.0,8.2870733167807e-06,1.800370860174835e-05
78,78,78,4FGL J0030.3-4224,FSRQ,1.1753703208235426e-05,565.1368561770925,7277.645850121972,240408000.0,48081600.0,58907.50001157408,0.0903409090909091,3046.675153436496,0.5974842767295597,8.2870733167807e-06,5.8627461344154895e-05
79,79,79,4FGL J0030.3-4224,FSRQ,1.0592246009799986e-05,570.1509444187058,7342.215623062579,269136000.0,53827200.0,59845.50001157408,0.1011363636363636,3195.2196879104945,-0.9775280898876404,8.2870733167807e-06,3.508415009571474e-05
80,80,80,4FGL J0030.6-0212,BCU,2.749221385189948e-06,88.12464196943266,1041.6129385065483,160272000.0,32054400.0,55988.50001157408,0.0616279069767441,17380.405753326813,-0.8490566037735849,1.8390179706015269e-06,7.1664594827051e-06
81,81,81,4FGL J0030.6-0212,BCU,3.061101979041179e-06,3.70270895384821,43.76516565241905,6048000.0,1209600.0,56548.50001157408,0.0023255813953488,80355.37337920206,0.0,1.8390179706015269e-06,3.5218029457865064e-06
